Portal,Latitude,Longitude,Team,Level,Health,Resos,Links,Fields,Destroy AP,Deploy AP
"Obelisco di Dogali",41.90213,12.497479,RES,6,99,8,0,0,1200,1750
"Fouding M",59.944185,30.307013,ENL,7,79,8,0,0,1200,1750
"七代目市川團十郎博多来演之碑",33.595871,130.40194,RES,5,100,8,0,0,1200,1750
"Dancing Children",-6.111434,106.737291,NEU,1,0,0,0,0,0,1750
"Alamo Bandstand Renovation",29.4249,-98.486821,RES,6,99,8,0,0,1200,1750
"Cupid's Span",37.791541,-122.390014,ENL,5,98,8,0,0,1200,1750
"Gloriette",48.865629,2.317879,ENL,5,100,8,0,0,1200,1750
"Joie de Vivre Sculpture",40.708942,-74.010922,ENL,5,100,8,0,0,1200,1750
"Thomas Joseph Ryan Statue",-27.472318,153.02381,ENL,2,90,3,0,0,450,1750
"Adjacent, Against, Upon",47.619423,-122.361682,ENL,5,100,7,0,0,1050,1750
"Neptunbrunnen",52.519537,13.406834,RES,6,100,8,0,0,1200,1750
"Baleia",-22.962368,-43.165488,RES,5,70,8,0,0,1200,1750
"JP Rizal Statue",14.56938,121.026,ENL,1,100,8,0,0,1200,1750
"?",50.102734,8.591569,RES,,,,5,5,NaN,1750
"?",50.103593,8.60136,RES,,,,3,5,NaN,1750
"?",50.111478,8.609504,RES,,,,5,4,NaN,1750
"?",50.141769,8.619049,ENL,,,,1,1,NaN,1750
"?",50.149496,8.619127,ENL,,,,3,4,NaN,1750
"?",50.142469,8.613999,ENL,,,,1,2,NaN,1750
"?",50.149658,8.563064,RES,,,,5,4,NaN,1750
"?",50.173055,8.586767,RES,,,,1,2,NaN,1750
"?",50.173454,8.586986,RES,,,,1,3,NaN,1750
"?",50.147191,8.575725,ENL,,,,3,2,NaN,1750
"?",50.140899,8.572802,ENL,,,,0,1,NaN,1750
"?",50.138915,8.573651,ENL,,,,1,1,NaN,1750
"?",50.103022,8.570057,RES,,,,6,5,NaN,1750
"?",50.102582,8.580291,RES,,,,2,2,NaN,1750
"?",50.10562,8.578957,RES,,,,10,11,NaN,1750
"?",49.709216,8.848665,ENL,,,,2,3,NaN,1750
"?",49.595126,8.890444,ENL,,,,1,1,NaN,1750
"?",49.673714,8.923749,ENL,,,,0,1,NaN,1750
"?",50.130284,8.621964,ENL,,,,2,4,NaN,1750
"?",50.129939,8.62278,ENL,,,,3,4,NaN,1750
"?",50.139218,8.612436,ENL,,,,6,6,NaN,1750
"?",50.094945,8.607569,RES,,,,3,4,NaN,1750
"?",50.094289,8.64016,RES,,,,4,3,NaN,1750
"?",50.102037,8.602802,RES,,,,4,5,NaN,1750
"?",50.102389,8.591426,RES,,,,4,5,NaN,1750
"?",50.102761,8.590897,RES,,,,4,4,NaN,1750
"?",50.207605,9.173305,ENL,,,,1,1,NaN,1750
"?",50.291711,9.118958,ENL,,,,1,1,NaN,1750
"?",50.28451,9.113627,ENL,,,,0,1,NaN,1750
"?",49.899727,8.509928,ENL,,,,2,1,NaN,1750
"?",49.813136,8.58114,ENL,,,,3,1,NaN,1750
"?",49.819391,8.5862,ENL,,,,1,1,NaN,1750
"?",50.11385,9.209481,RES,,,,5,6,NaN,1750
"?",49.974895,9.339597,RES,,,,7,4,NaN,1750
"?",50.027087,9.362601,RES,,,,1,2,NaN,1750
"?",49.791642,8.934262,ENL,,,,1,2,NaN,1750
"?",49.774162,8.945045,ENL,,,,0,1,NaN,1750
"?",49.735817,9.044813,ENL,,,,1,2,NaN,1750
"?",49.733802,8.732339,ENL,,,,0,1,NaN,1750
"?",49.717414,8.868898,ENL,,,,1,2,NaN,1750
"?",49.759392,8.69123,ENL,,,,2,2,NaN,1750
"?",50.133505,8.62795,ENL,,,,1,2,NaN,1750
